STATS_YM,STATS_RM_CN,ACDMCR_TY_NM,RANK_NM,CNSLT_CN,CNSLT_CN_VALUE
201912,2019년1월1일~12월31일,초등학교,1위,대인관계,46.2
201912,2019년1월1일~12월31일,초등학교,2위,기타,19.9
201912,2019년1월1일~12월31일,초등학교,3위,학업,17.4
201912,2019년1월1일~12월31일,초등학교,4위,가족,7.9
201912,2019년1월1일~12월31일,초등학교,5위,생활습관/외모,2.8
201912,2019년1월1일~12월31일,초등학교,6위,성격,1.7
201912,2019년1월1일~12월31일,초등학교,7위,인터넷/스마트폰,1.5
201912,2019년1월1일~12월31일,초등학교,8위,진로,1.4
201912,2019년1월1일~12월31일,초등학교,9위,정신건강,0.7
201912,2019년1월1일~12월31일,초등학교,10위,성,0.3
201912,2019년1월1일~12월31일,초등학교,11위,일탈 및 비행,0.1
201912,2019년1월1일~12월31일,중학교,1위,대인관계,43.3
201912,2019년1월1일~12월31일,중학교,2위,학업,16.3
201912,2019년1월1일~12월31일,중학교,3위,기타,10.4
201912,2019년1월1일~12월31일,중학교,4위,진로,9.1
201912,2019년1월1일~12월31일,중학교,5위,가족,5.3
201912,2019년1월1일~12월31일,중학교,6위,인터넷/스마트폰,4.1
201912,2019년1월1일~12월31일,중학교,7위,생활습관/외모,4.1
201912,2019년1월1일~12월31일,중학교,8위,성격,3.9
201912,2019년1월1일~12월31일,중학교,9위,정신건강,2.5
201912,2019년1월1일~12월31일,중학교,10위,일탈 및 비행,0.6
201912,2019년1월1일~12월31일,중학교,11위,성,0.4
201912,2019년1월1일~12월31일,고등학교,1위,대인관계,32.4
201912,2019년1월1일~12월31일,고등학교,2위,학업,24
201912,2019년1월1일~12월31일,고등학교,3위,진로,14.3
201912,2019년1월1일~12월31일,고등학교,4위,기타,7.4
201912,2019년1월1일~12월31일,고등학교,5위,가족,7
201912,2019년1월1일~12월31일,고등학교,6위,생활습관/외모,4.3
201912,2019년1월1일~12월31일,고등학교,7위,인터넷/스마트폰,3.4
201912,2019년1월1일~12월31일,고등학교,8위,성격,3
201912,2019년1월1일~12월31일,고등학교,9위,정신건강,2.8
201912,2019년1월1일~12월31일,고등학교,10위,일탈 및 비행,0.9
201912,2019년1월1일~12월31일,고등학교,11위,성,0.5
201912,2019년1월1일~12월31일,대학교,1위,대인관계,27.9
201912,2019년1월1일~12월31일,대학교,2위,진로,21.3
201912,2019년1월1일~12월31일,대학교,3위,학업,18.7
201912,2019년1월1일~12월31일,대학교,4위,기타,17.9
201912,2019년1월1일~12월31일,대학교,5위,가족,4.7
201912,2019년1월1일~12월31일,대학교,6위,생활습관/외모,3
201912,2019년1월1일~12월31일,대학교,7위,성격,2.4
201912,2019년1월1일~12월31일,대학교,8위,정신건강,1.9
201912,2019년1월1일~12월31일,대학교,9위,인터넷/스마트폰,1.1
201912,2019년1월1일~12월31일,대학교,10위,성,0.7
201912,2019년1월1일~12월31일,대학교,11위,일탈 및 비행,0.4
201911,2019년1월1일~11월30일,초등학교,1위,대인관계,46.2
201911,2019년1월1일~11월30일,초등학교,2위,기타,19.9
201911,2019년1월1일~11월30일,초등학교,3위,학업,17.4
201911,2019년1월1일~11월30일,초등학교,4위,가족,7.9
201911,2019년1월1일~11월30일,초등학교,5위,생활습관/외모,2.8
201911,2019년1월1일~11월30일,초등학교,6위,성격,1.7
201911,2019년1월1일~11월30일,초등학교,7위,인터넷/스마트폰,1.5
201911,2019년1월1일~11월30일,초등학교,8위,진로,1.4
201911,2019년1월1일~11월30일,초등학교,9위,정신건강,0.7
201911,2019년1월1일~11월30일,초등학교,10위,성,0.3
201911,2019년1월1일~11월30일,초등학교,11위,일탈 및 비행,0.1
201911,2019년1월1일~11월30일,중학교,1위,대인관계,43.3
201911,2019년1월1일~11월30일,중학교,2위,학업,16.3
201911,2019년1월1일~11월30일,중학교,3위,기타,10.4
201911,2019년1월1일~11월30일,중학교,4위,진로,9.1
201911,2019년1월1일~11월30일,중학교,5위,가족,5.3
201911,2019년1월1일~11월30일,중학교,6위,인터넷/스마트폰,4.1
201911,2019년1월1일~11월30일,중학교,7위,생활습관/외모,4.1
201911,2019년1월1일~11월30일,중학교,8위,성격,3.9
201911,2019년1월1일~11월30일,중학교,9위,정신건강,2.5
201911,2019년1월1일~11월30일,중학교,10위,일탈 및 비행,0.6
201911,2019년1월1일~11월30일,중학교,11위,성,0.4
201911,2019년1월1일~11월30일,고등학교,1위,대인관계,32.4
201911,2019년1월1일~11월30일,고등학교,2위,학업,24
201911,2019년1월1일~11월30일,고등학교,3위,진로,14.3
201911,2019년1월1일~11월30일,고등학교,4위,기타,7.4
201911,2019년1월1일~11월30일,고등학교,5위,가족,7
201911,2019년1월1일~11월30일,고등학교,6위,생활습관/외모,4.3
201911,2019년1월1일~11월30일,고등학교,7위,인터넷/스마트폰,3.4
201911,2019년1월1일~11월30일,고등학교,8위,성격,3
201911,2019년1월1일~11월30일,고등학교,9위,정신건강,2.8
201911,2019년1월1일~11월30일,고등학교,10위,일탈 및 비행,0.9
201911,2019년1월1일~11월30일,고등학교,11위,성,0.5
201911,2019년1월1일~11월30일,대학교,1위,대인관계,27.9
201911,2019년1월1일~11월30일,대학교,2위,진로,21.3
201911,2019년1월1일~11월30일,대학교,3위,학업,18.7
201911,2019년1월1일~11월30일,대학교,4위,기타,17.9
201911,2019년1월1일~11월30일,대학교,5위,가족,4.7
201911,2019년1월1일~11월30일,대학교,6위,생활습관/외모,3
201911,2019년1월1일~11월30일,대학교,7위,성격,2.4
201911,2019년1월1일~11월30일,대학교,8위,정신건강,1.9
201911,2019년1월1일~11월30일,대학교,9위,인터넷/스마트폰,1.1
201911,2019년1월1일~11월30일,대학교,10위,성,0.7
201911,2019년1월1일~11월30일,대학교,11위,일탈 및 비행,0.4
201910,2019년1월1일~10월31일,초등학교,1위,대인관계,35.8
201910,2019년1월1일~10월31일,초등학교,2위,학업,24.8
201910,2019년1월1일~10월31일,초등학교,3위,기타,21.8
201910,2019년1월1일~10월31일,초등학교,4위,가족,9.4
201910,2019년1월1일~10월31일,초등학교,5위,생활습관/외모,2.4
201910,2019년1월1일~10월31일,초등학교,6위,성격,2.7
201910,2019년1월1일~10월31일,초등학교,7위,인터넷/스마트폰,1.3
201910,2019년1월1일~10월31일,초등학교,8위,진로,1.1
201910,2019년1월1일~10월31일,초등학교,9위,정신건강,0.8
201910,2019년1월1일~10월31일,초등학교,10위,성,0.3
201910,2019년1월1일~10월31일,초등학교,11위,-,0
201910,2019년1월1일~10월31일,중학교,1위,대인관계,45.3
201910,2019년1월1일~10월31일,중학교,2위,학업,15.8
201910,2019년1월1일~10월31일,중학교,3위,기타,10.3
201910,2019년1월1일~10월31일,중학교,4위,진로,8.8
201910,2019년1월1일~10월31일,중학교,5위,가족,4.9
201910,2019년1월1일~10월31일,중학교,6위,정신건강,2.9
201910,2019년1월1일~10월31일,중학교,7위,생활습관/외모,3.8
201910,2019년1월1일~10월31일,중학교,8위,인터넷/스마트폰,3.8
201910,2019년1월1일~10월31일,중학교,9위,성격,3.4
201910,2019년1월1일~10월31일,중학교,10위,일탈 및 비행,0.7
201910,2019년1월1일~10월31일,중학교,11위,성,0.3
201910,2019년1월1일~10월31일,고등학교,1위,대인관계,36.1
201910,2019년1월1일~10월31일,고등학교,2위,학업,22.4
201910,2019년1월1일~10월31일,고등학교,3위,진로,13.6
201910,2019년1월1일~10월31일,고등학교,4위,기타,8.9
201910,2019년1월1일~10월31일,고등학교,5위,가족,6.1
201910,2019년1월1일~10월31일,고등학교,6위,생활습관/외모,3.3
201910,2019년1월1일~10월31일,고등학교,7위,인터넷/스마트폰,3
201910,2019년1월1일~10월31일,고등학교,8위,성격,2.8
201910,2019년1월1일~10월31일,고등학교,9위,정신건강,2.7
201910,2019년1월1일~10월31일,고등학교,10위,일탈 및 비행,0.9
201910,2019년1월1일~10월31일,고등학교,11위,성,0.2
201909,2019년1월1일~9월30일,초등학교,1위,대인관계,41.4
201909,2019년1월1일~9월30일,초등학교,2위,기타,22.9
201909,2019년1월1일~9월30일,초등학교,3위,학업,13.3
201909,2019년1월1일~9월30일,초등학교,4위,가족,11.4
201909,2019년1월1일~9월30일,초등학교,5위,생활습관/외모,3.8
201909,2019년1월1일~9월30일,초등학교,6위,성격,3.3
201909,2019년1월1일~9월30일,초등학교,7위,인터넷/스마트폰,1.4
201909,2019년1월1일~9월30일,초등학교,8위,진로,1
201909,2019년1월1일~9월30일,초등학교,9위,정신건강,1
201909,2019년1월1일~9월30일,초등학교,10위,성,0.5
201909,2019년1월1일~9월30일,초등학교,11위,-,0
201909,2019년1월1일~9월30일,중학교,1위,대인관계,48.4
201909,2019년1월1일~9월30일,중학교,2위,학업,16.2
201909,2019년1월1일~9월30일,중학교,3위,기타,11.4
201909,2019년1월1일~9월30일,중학교,4위,진로,9
201909,2019년1월1일~9월30일,중학교,5위,가족,5.2
201909,2019년1월1일~9월30일,중학교,6위,정신건강,2.7
201909,2019년1월1일~9월30일,중학교,7위,생활습관/외모,2.3
201909,2019년1월1일~9월30일,중학교,8위,인터넷/스마트폰,2
201909,2019년1월1일~9월30일,중학교,9위,성격,1.5
201909,2019년1월1일~9월30일,중학교,10위,일탈 및 비행,1
201909,2019년1월1일~9월30일,중학교,11위,성,0.2
201909,2019년1월1일~9월30일,고등학교,1위,대인관계,34.9
201909,2019년1월1일~9월30일,고등학교,2위,학업,22.8
201909,2019년1월1일~9월30일,고등학교,3위,진로,13.5
201909,2019년1월1일~9월30일,고등학교,4위,기타,9
201909,2019년1월1일~9월30일,고등학교,5위,가족,6.1
201909,2019년1월1일~9월30일,고등학교,6위,생활습관/외모,3.6
201909,2019년1월1일~9월30일,고등학교,7위,인터넷/스마트폰,3.3
201909,2019년1월1일~9월30일,고등학교,8위,성격,3.1
201909,2019년1월1일~9월30일,고등학교,9위,정신건강,2.4
201909,2019년1월1일~9월30일,고등학교,10위,일탈 및 비행,0.9
201909,2019년1월1일~9월30일,고등학교,11위,성,0.3
201908,2019년1월1일~8월31일,초등학교,1위,대인관계,38.2
201908,2019년1월1일~8월31일,초등학교,2위,기타,25.3
201908,2019년1월1일~8월31일,초등학교,3위,학업,15.3
201908,2019년1월1일~8월31일,초등학교,4위,가족,11.2
201908,2019년1월1일~8월31일,초등학교,5위,생활습관/외모,3.5
201908,2019년1월1일~8월31일,초등학교,6위,성격,3.5
201908,2019년1월1일~8월31일,초등학교,7위,진로,1.2
201908,2019년1월1일~8월31일,초등학교,8위,인터넷/스마트폰,1.2
201908,2019년1월1일~8월31일,초등학교,9위,성,0.6
201908,2019년1월1일~8월31일,초등학교,10위,-,0
201908,2019년1월1일~8월31일,초등학교,11위,-,0
201908,2019년1월1일~8월31일,중학교,1위,대인관계,51.1
201908,2019년1월1일~8월31일,중학교,2위,학업,14.5
201908,2019년1월1일~8월31일,중학교,3위,기타,11.6
201908,2019년1월1일~8월31일,중학교,4위,진로,9.6
201908,2019년1월1일~8월31일,중학교,5위,가족,3.6
201908,2019년1월1일~8월31일,중학교,6위,정신건강,3.1
201908,2019년1월1일~8월31일,중학교,7위,생활습관/외모,1.7
201908,2019년1월1일~8월31일,중학교,8위,성격,1.7
201908,2019년1월1일~8월31일,중학교,9위,인터넷/스마트폰,1.7
201908,2019년1월1일~8월31일,중학교,10위,일탈 및 비행,1.4
201908,2019년1월1일~8월31일,중학교,11위,-,0
201908,2019년1월1일~8월31일,고등학교,1위,대인관계,36.7
201908,2019년1월1일~8월31일,고등학교,2위,학업,21.4
201908,2019년1월1일~8월31일,고등학교,3위,진로,13.8
201908,2019년1월1일~8월31일,고등학교,4위,기타,8.7
201908,2019년1월1일~8월31일,고등학교,5위,가족,6.3
201908,2019년1월1일~8월31일,고등학교,6위,생활습관/외모,3.6
201908,2019년1월1일~8월31일,고등학교,7위,인터넷/스마트폰,3.4
201908,2019년1월1일~8월31일,고등학교,8위,성격,2.8
201908,2019년1월1일~8월31일,고등학교,9위,정신건강,2.6
201908,2019년1월1일~8월31일,고등학교,10위,일탈 및 비행,0.5
201908,2019년1월1일~8월31일,고등학교,11위,성,0.2
201907,2019년1월1일~7월31일,초등학교,1위,대인관계,39.4
201907,2019년1월1일~7월31일,초등학교,2위,기타,25.5
201907,2019년1월1일~7월31일,초등학교,3위,학업,15.8
201907,2019년1월1일~7월31일,초등학교,4위,가족,11.5
201907,2019년1월1일~7월31일,초등학교,5위,성격,3.6
201907,2019년1월1일~7월31일,초등학교,6위,생활습관/외모,3
201907,2019년1월1일~7월31일,초등학교,7위,성,0.6
201907,2019년1월1일~7월31일,초등학교,8위,-,0
201907,2019년1월1일~7월31일,초등학교,9위,-,0
201907,2019년1월1일~7월31일,초등학교,10위,-,0
201907,2019년1월1일~7월31일,초등학교,11위,-,0
201907,2019년1월1일~7월31일,중학교,1위,기타,51
201907,2019년1월1일~7월31일,중학교,2위,성격,15.7
201907,2019년1월1일~7월31일,중학교,3위,학업,10.9
201907,2019년1월1일~7월31일,중학교,4위,인터넷/스마트폰,9
201907,2019년1월1일~7월31일,중학교,5위,대인관계,4.2
201907,2019년1월1일~7월31일,중학교,6위,일탈 및 비행,2.5
201907,2019년1월1일~7월31일,중학교,7위,정신건강,2
201907,2019년1월1일~7월31일,중학교,8위,가족,1.7
201907,2019년1월1일~7월31일,중학교,9위,진로,1.7
201907,2019년1월1일~7월31일,중학교,10위,생활습관/외모,1.4
201907,2019년1월1일~7월31일,중학교,11위,-,0
201907,2019년1월1일~7월31일,고등학교,1위,진로,36.5
201907,2019년1월1일~7월31일,고등학교,2위,일탈 및 비행,21
201907,2019년1월1일~7월31일,고등학교,3위,생활습관/외모,13.1
201907,2019년1월1일~7월31일,고등학교,4위,학업,8.8
201907,2019년1월1일~7월31일,고등학교,5위,대인관계,6.1
201907,2019년1월1일~7월31일,고등학교,6위,가족,3.9
201907,2019년1월1일~7월31일,고등학교,7위,성,3.6
201907,2019년1월1일~7월31일,고등학교,8위,기타,3.1
201907,2019년1월1일~7월31일,고등학교,9위,인터넷/스마트폰,0.6
201907,2019년1월1일~7월31일,고등학교,10위,정신건강,0.3
201907,2019년1월1일~7월31일,고등학교,11위,-,0
201906,2019년1월1일~6월26일,초등학교,1위,기타,32.7
201906,2019년1월1일~6월26일,초등학교,2위,대인관계,24.5
201906,2019년1월1일~6월26일,초등학교,3위,학업,20.4
201906,2019년1월1일~6월26일,초등학교,4위,가족,15.3
201906,2019년1월1일~6월26일,초등학교,5위,성격,5.1
201906,2019년1월1일~6월26일,초등학교,6위,생활습관/외모,1
201906,2019년1월1일~6월26일,초등학교,7위,진로,1
201906,2019년1월1일~6월26일,초등학교,8위,-,0
201906,2019년1월1일~6월26일,초등학교,9위,-,0
201906,2019년1월1일~6월26일,초등학교,10위,-,0
201906,2019년1월1일~6월26일,초등학교,11위,-,0
201906,2019년1월1일~6월26일,중학교,1위,기타,54.5
201906,2019년1월1일~6월26일,중학교,2위,성격,16.9
201906,2019년1월1일~6월26일,중학교,3위,학업,10.4
201906,2019년1월1일~6월26일,중학교,4위,인터넷/스마트폰,6.9
201906,2019년1월1일~6월26일,중학교,5위,대인관계,4.8
201906,2019년1월1일~6월26일,중학교,6위,일탈 및 비행,2.2
201906,2019년1월1일~6월26일,중학교,7위,진로,1.7
201906,2019년1월1일~6월26일,중학교,8위,가족,1.3
201906,2019년1월1일~6월26일,중학교,9위,정신건강,0.9
201906,2019년1월1일~6월26일,중학교,10위,생활습관/외모,0.4
201906,2019년1월1일~6월26일,중학교,11위,-,0
201906,2019년1월1일~6월26일,고등학교,1위,진로,39.5
201906,2019년1월1일~6월26일,고등학교,2위,일탈 및 비행,18.9
201906,2019년1월1일~6월26일,고등학교,3위,생활습관/외모,13
201906,2019년1월1일~6월26일,고등학교,4위,학업,8.4
201906,2019년1월1일~6월26일,고등학교,5위,대인관계,6.1
201906,2019년1월1일~6월26일,고등학교,6위,성격,4.2
201906,2019년1월1일~6월26일,고등학교,7위,성,3.5
201906,2019년1월1일~6월26일,고등학교,8위,기타,2.9
201906,2019년1월1일~6월26일,고등학교,9위,가족,2.7
201906,2019년1월1일~6월26일,고등학교,10위,인터넷/스마트폰,0.3
201906,2019년1월1일~6월26일,고등학교,11위,정신건강,0.3
201905,2019년1월1일~5월31일,초등학교,1위,기타,31.6
201905,2019년1월1일~5월31일,초등학교,2위,대인관계,22.8
201905,2019년1월1일~5월31일,초등학교,3위,학업,20.3
201905,2019년1월1일~5월31일,초등학교,4위,가족,16.5
201905,2019년1월1일~5월31일,초등학교,5위,성격,6.3
201905,2019년1월1일~5월31일,초등학교,6위,생활습관/외모,1.3
201905,2019년1월1일~5월31일,초등학교,7위,진로,1.3
201905,2019년1월1일~5월31일,초등학교,8위,-,0
201905,2019년1월1일~5월31일,초등학교,9위,-,0
201905,2019년1월1일~5월31일,초등학교,10위,-,0
201905,2019년1월1일~5월31일,초등학교,11위,-,0
201905,2019년1월1일~5월31일,중학교,1위,기타,52.4
201905,2019년1월1일~5월31일,중학교,2위,성격,19.7
201905,2019년1월1일~5월31일,중학교,3위,학업,8.2
201905,2019년1월1일~5월31일,중학교,4위,인터넷/스마트폰,6.8
201905,2019년1월1일~5월31일,중학교,5위,대인관계,4.8
201905,2019년1월1일~5월31일,중학교,6위,일탈 및 비행,3.4
201905,2019년1월1일~5월31일,중학교,7위,진로,2.7
201905,2019년1월1일~5월31일,중학교,8위,가족,1.4
201905,2019년1월1일~5월31일,중학교,9위,정신건강,0.7
201905,2019년1월1일~5월31일,중학교,10위,-,0
201905,2019년1월1일~5월31일,중학교,11위,-,0
201905,2019년1월1일~5월31일,고등학교,1위,진로,40.9
201905,2019년1월1일~5월31일,고등학교,2위,일탈 및 비행,19.3
201905,2019년1월1일~5월31일,고등학교,3위,생활습관/외모,10.8
201905,2019년1월1일~5월31일,고등학교,4위,학업,8.3
201905,2019년1월1일~5월31일,고등학교,5위,대인관계,7.4
201905,2019년1월1일~5월31일,고등학교,6위,성격,4.1
201905,2019년1월1일~5월31일,고등학교,7위,기타,3.4
201905,2019년1월1일~5월31일,고등학교,8위,성,3.2
201905,2019년1월1일~5월31일,고등학교,9위,가족,2.1
201905,2019년1월1일~5월31일,고등학교,10위,인터넷/스마트폰,0.2
201905,2019년1월1일~5월31일,고등학교,11위,정신건강,0.2
201809,2018년1월1일~9월30일,초등학교,1위,대인관계,48.2
201809,2018년1월1일~9월30일,초등학교,2위,기타,23.7
201809,2018년1월1일~9월30일,초등학교,3위,학업,8.7
201809,2018년1월1일~9월30일,초등학교,4위,진로,4.3
201809,2018년1월1일~9월30일,초등학교,5위,생활습관/외모,4.3
201809,2018년1월1일~9월30일,초등학교,6위,성격,3.7
201809,2018년1월1일~9월30일,초등학교,7위,가족,3
201809,2018년1월1일~9월30일,초등학교,8위,인터넷/스마트폰,2.3
201809,2018년1월1일~9월30일,초등학교,9위,정신건강,1.3
201809,2018년1월1일~9월30일,초등학교,10위,성,0.3
201809,2018년1월1일~9월30일,초등학교,11위,-,0
201809,2018년1월1일~9월30일,중학교,1위,대인관계,51.1
201809,2018년1월1일~9월30일,중학교,2위,학업,13.1
201809,2018년1월1일~9월30일,중학교,3위,진로,8.7
201809,2018년1월1일~9월30일,중학교,4위,기타,7.2
201809,2018년1월1일~9월30일,중학교,5위,인터넷/스마트폰,6.1
201809,2018년1월1일~9월30일,중학교,6위,가족,5.1
201809,2018년1월1일~9월30일,중학교,7위,정신건강,3.8
201809,2018년1월1일~9월30일,중학교,8위,생활습관/외모,2.7
201809,2018년1월1일~9월30일,중학교,9위,성격,1.6
